Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Nyeri,Nyeri Town,Kiganjo/Mathari,Unknown,,,2025-02-11,Cattle,Anthrax,Unknown,3,1
County Government,Nyandarua,Kinangop,Murungaru,Unknown,,,2025-05-05,Sheep,Enterotoxaemia,Unknown,65,10
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Dogs,Rabies,Unknown,1,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-23,Cattle,Lumpy Skin Disease (LSD),Unknown,1,1
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-27,Cats,Rabies,Unknown,5,3
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-28,Cattle,Anthrax,Unknown,78,9
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-28,Dogs,Rabies,Unknown,47,22
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,4,1
County Government,Nyeri,Nyeri Town,Kamakwa/Mukaro,Unknown,,,2025-02-04,Cattle,Lumpy Skin Disease (LSD),Unknown,6,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Dogs,Rabies,Unknown,1,1
County Government,Nyeri,Tetu,Dedan Kimanthi,Unknown,,,2025-02-05,Cattle,Anthrax,Unknown,4,1
Private,Garissa,Fafi,Jarajila,Unknown,,,2025-05-06,Sheep,Other,Ppr,520,31
County Government,Bomet,Sotik,Kipsonoi,Unknown,,,2025-04-09,Sheep,Anthrax,Unknown,16,2
County Government,Bomet,Sotik,Kipsonoi,Unknown,,,2025-04-10,Sheep,Anthrax,Unknown,32,6
County Government,Nyeri,Tetu,Dedan Kimanthi,Unknown,,,2025-02-05,Cattle,Lumpy Skin Disease (LSD),Unknown,4,1
County Government,Nyeri,Nyeri Town,Kiganjo/Mathari,Unknown,,,2025-02-11,Cattle,Lumpy Skin Disease (LSD),Unknown,3,1
Private,Vihiga,Luanda,Mwibona,Sq,0.0284794,34.5856155,2025-01-01,Dogs,Rabies,Unknown,3,1
Private,Busia,Teso South,Amukura Central,Apokor,0.5395331,34.2602346,2025-01-02,Dogs,Rabies,Unknown,6,2
County Government,Taita Taveta,Taveta,Mahoo,Chachewa,-3.3913775,37.6756623,2025-01-02,Dogs,Rabies,Unknown,1,1
County Government,Taita Taveta,Voi,Mbololo,Sikujua,-3.3808366666666663,38.576825,2025-01-03,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,28,1
County Government,Taita Taveta,Voi,Kaloleni,Gimba,-3.4529683333333328,38.55286833333333,2025-01-04,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,6,1
