Id,Cadre,Date of Start of Outbreak/Event,Date Event Reported,Season,Latitude,Longitude,Region,Area Type,Area Name,Animal Category,Species,Population in Herd,Traumatic injuries,Number Affected,Type of injury,Nature of human inflicted injury,Death of animals,Skin lesions/ swellings,Respiratory Signs,oral and foot lesions,Diarrhoea,Emaciation,Aggression,Central Nervous System signs,Blindness/Eye condition,Reproductive signs,Other Signs/Syndomes,Number Sick / Bitten,Number Dead,Disease/Condition,Other Disease,Nature of Diagnosis,Number of Humans Affected,Disease Control Method
4c5559db-977d-4945-aa51-f88677795eeb,Ranger,2020-03-03,2020-05-03,Dry,37.4219918,-122.0839808,Mountain,Non-Protected Area: Community land,T,Carnivore,Jackals,51-100,No,0.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,Yes,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
0d51a881-7723-4460-9190-825ed950160e,Research scientist,2020-07-04,2020-07-04,Dry,0.2947839,38.0606659,Eastern,Protected Area: National Park,Meru ,Non-human Primates,Baboons,<10,Yes,2.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
a4c996a2-ad0e-4fc1-9f5e-37a0e9057f75,Ranger,2020-07-10,2020-07-14,Dry,0.1002217,38.00875,Eastern,Protected Area: National Park,Kora N Park,Carnivore,Lions,<10,Yes,1.0,Unknown,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
6d54fe0d-9506-4771-a237-7b7cfb75a11f,Conservancy manager,2020-08-18,2020-08-18,Rainy,0.876056,36.5518409,Mountain,Non-Protected Area: Conservancies,lolmolok,Herbivore,Equidae (Zebra),11-50,No,0.0,Unknown,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
52f716e6-cc49-41ed-a185-63a79227b4ee,Ranger,2020-08-16,2020-08-16,Dry,0.2352469,38.0447162,Eastern,Protected Area: National Park,M N Park,Herbivore,Eland,<10,No,0.0,Unknown,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
1777dbf4-0cd0-4ab3-98c1-e7c0090a6357,Ranger,2020-10-12,2020-10-12,Dry,0.2394437,38.0424551,Eastern,Protected Area: National Park,Meru N Park,Herbivore,Equidae (Zebra),<10,Yes,1.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
1fdf96bf-141d-4685-ac81-05d4f736abfd,Ranger,2020-07-24,2020-07-24,Dry,0.28805,38.0646614,Eastern,Protected Area: National Park,MNpark No 32,Carnivore,Lions,<10,No,0.0,Unknown,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
286d5366-b482-4752-bf74-589c045f0505,Research scientist,2020-12-04,2020-12-04,Dry,30.5643401,-96.2686086,Mountain,Non-Protected Area: Community land,S,Carnivore,Jackals,101-500,Yes,1.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
7f6d130c-1f2a-4153-ae32-e05f711a6a3b,Research scientist,2020-08-18,2020-08-18,Dry,0.0,0.0,Tsavo,Protected Area: National Park,Near Sala ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
20a9a265-176b-4d57-9a4b-02663c465d7c,Veterinarian,2021-03-15,2021-03-15,Dry,0.0044329,37.0705373,Mountain,Non-Protected Area: Conservancies,Ol Pejeta ,Herbivore,Buffalo,<10,No,0.0,Unknown,Unknown,No,Yes,No,Yes,No,No,No,No,No,No,No,1.0,0.0,Other,FMD,Clinical,0.0,[Treatment]
48b2e803-925b-47fa-bb1f-df025f0bd370,Veterinarian,2021-03-29,2021-03-29,Dry,0.0269858,36.9031431,Mountain,Non-Protected Area: Conservancies,Ol Pejeta CONSERVANCY ,Herbivore,Equidae (Zebra),11-50,No,0.0,Unknown,Unknown,Yes,No,No,No,No,Yes,No,No,No,No,No,1.0,1.0,Other,Perforating Gastritis ,Post Mortem,0.0,[Other]
1e8f8c06-f8ff-4f56-b8f8-507c27a74a3e,Veterinarian,2021-03-16,2021-03-16,Dry,0.0270261,36.9031401,Mountain,Non-Protected Area: Conservancies,Ol Pejeta Conservancy ,Carnivore,Lions,<10,Yes,1.0,Species territorial fights,Unknown,Yes,Yes,No,No,No,No,No,No,No,No,No,1.0,1.0,Other,Injured By Other Lions ,Post Mortem,0.0,[No Action]
ae476402-45a6-43b1-8e0a-525c0e2cfcd8,Research scientist,2020-08-11,2020-08-11,Dry,-3.3525312,38.5989863,Tsavo,Protected Area: National Park,Research Center ,Non-human Primates,Baboons,<10,Yes,1.0,Unknown,Unknown,No,Yes,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
0f2dcfc5-47f8-4f3c-8e86-3c8f8166c730,Ranger,2020-11-17,2020-11-17,Dry,0.2599489,37.9503624,Eastern,Protected Area: National Park,Meru,Herbivore,Equidae (Zebra),<10,Yes,1.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
