Longitude,Latitude,County,Sub-County,Ward,Locality,Species examined,Production System,RVF,RP,PPR,FMD,CCPP,CBPP,Avian Influenza
41.6204775,3.9548401,Mandera,Mandera East,Khalalio,Village/Farm,Goats,Extensive,No,Unknown,No,Unknown,No,Unknown,Unknown
41.6777701,3.7546886,Mandera,Mandera East,Khalalio,Village/Farm,Goats,Extensive,No,Unknown,No,Unknown,No,Unknown,Unknown
39.1512787,2.5219075,Wajir,Eldas,Lakoley South/Basir,Village/Farm,Cattle,Extensive,No,No,Unknown,No,Unknown,No,Unknown
39.1512787,2.5219075,Wajir,Eldas,Lakoley South/Basir,Village/Farm,Camel,Extensive,No,Unknown,Unknown,No,Unknown,Unknown,Unknown
0.03,37.0003,Samburu,Samburu East,Wamba West,Village/Farm,Sheep,Extensive,No,Unknown,No,Unknown,Unknown,Unknown,Unknown
0.0,37.003,Samburu,Samburu East,Wamba West,Village/Farm,Camel,Extensive,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0.0004,37.0003,Samburu,Samburu East,Wamba West,Village/Farm,Goats,Extensive,No,Unknown,No,No,No,Unknown,Unknown
0.0004,37.0003,Samburu,Samburu East,Wamba West,Village/Farm,Cattle,Extensive,No,No,Unknown,No,Unknown,No,Unknown
35.0964453,0.4992653,Nandi,Mosop,Ndalat,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
39.0512854,-3.734312,Kwale,Kinango,Mackinnon Road,Village/Farm,Cattle,Extensive,No,Unknown,Unknown,No,Unknown,No,Unknown
39.8494661,-3.6215146,Kilifi,Malindi,Jilore,Village/Farm,Cattle,Extensive,No,No,Unknown,No,Unknown,No,Unknown
39.8494661,-3.6215146,Kilifi,Malindi,Jilore,Village/Farm,Cattle,Extensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0.0,0.0,Mandera,Mandera East,Khalalio,Village/Farm,Cattle,Extensive,No,No,Unknown,No,Unknown,No,Unknown
41.6075751,3.9555634,Mandera,Mandera East,Khalalio,Crush,Cattle,Extensive,No,No,Unknown,No,Unknown,No,Unknown
36.692604,1.0926162,Samburu,Samburu West,Maralal,Crush,Sheep,Mixed,No,Unknown,No,Unknown,Unknown,Unknown,Unknown
36.692604,1.0926162,Samburu,Samburu West,Maralal,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
36.692604,1.0926162,Samburu,Samburu West,Maralal,Crush,Goats,Mixed,No,Unknown,No,Unknown,No,Unknown,Unknown
37.9405468,0.3517103,Meru,Igembe North,Antuambui,Abattoir,Sheep,Extensive,No,Unknown,Unknown,No,Unknown,Unknown,Unknown
37.3659626,-2.0105062,Makueni,Kilome,Kasikeu,Abattoir,Cattle,Unknown,No,No,Unknown,No,Unknown,No,Unknown
37.3660103,-2.0160734,Makueni,Kilome,Kasikeu,Abattoir,Goats,Unknown,No,Unknown,No,No,No,Unknown,Unknown
