Submitter Username,Submitter Role,Id,Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Sudden Death,Death,Hemorrhagic Signs,Neurologic signs,Animal Bites,Respiratory Signs,Oral/Foot Lesions,Cutaneous/Skin Lesions,Gastrointestinal tract syndromes,Other Syndromes,Number at Risk,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Slaughtered,Number Destroyed,Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
dkinoti,Government Veterinarian,4f35496e-deae-4609-bf58-b32ceb78b779,2020-02-19,2020-02-19,Tharaka-Nithi,Maara,Mitheru,Village/Farm,Cattle,Intensive,No,No,No,No,No,No,No,No,No,No,Yes,1,1,0,Mastitis,Clinical,0,0,0,0,[Treatment],,,0
A.Siraj,Sub-county Officer,8eb35a65-7436-4637-9601-3bd947b7bb7c,2020-02-22,2020-02-09,Garissa,Dadaab,Liboi,Village/Farm,Cattle,Extensive,No,No,No,No,No,No,No,No,Yes,No,No,4200,12,1,Lumpy Skin Disease (LSD),Clinical,0,0,0,0,[Treatment],,,0
mirungu,Government Animal Health Assistant,4292b90c-1268-4dd6-a60f-fd9cded2a722,2020-02-20,2020-02-20,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,No,No,No,No,No,No,No,Yes,No,No,5,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,0,0,[Treatment],,,0
livingstone,Government Animal Health Assistant,5feff171-a62a-441f-a0d5-810dbd7b9da1,2020-03-02,2020-03-01,Bomet,Sotik,Rongena/Manaret,Village/Farm,Cattle,Mixed,No,No,No,No,No,No,No,No,Yes,No,No,6,2,0,Lumpy Skin Disease (LSD),Clinical,0,0,0,280,"[Treatment, Quarantine, Vaccination]",,,0
Fredrick mbaru,Government Animal Health Assistant,108cbee5-11e2-4a9b-9172-b9bb5bcfae96,2020-02-24,2020-02-23,Kilifi,Malindi,Malindi Town,Village/Farm,Sheep,Mixed,No,No,No,No,Yes,No,Yes,No,No,No,No,24,0,0,Heart Water,Clinical,0,0,0,0,[Treatment],,,0
muchira2019,Vet. Surgeon,170ef310-71bf-4bfd-953a-275c2246a026,2020-02-24,2020-02-17,Samburu,Samburu West,Loosuk,Village/Farm,Cattle,Mixed,No,No,No,Yes,No,No,Yes,No,No,Yes,No,5,1,0,East Coast Fever(ECF),Clinical,0,0,0,0,[Treatment],,,0
smalemba,Government Animal Health Assistant,e191fb7d-b433-4452-a279-330b6511b6f2,2020-03-03,2020-02-29,Homa Bay,Karachuonyo,Kendu Bay Town,Village/Farm,Sheep,Mixed,No,No,No,No,No,No,Yes,No,No,No,No,8,1,0,Pneumonia,Clinical,0,0,0,0,[Treatment],,,0
jmutegi,Vet. Surgeon,21273be5-750c-4145-8ca8-4b4dbfe8044f,2020-03-05,2020-03-04,Tharaka-Nithi,Chuka/Igambang'Ombe,Mugwe,Village/Farm,Cattle,Intensive,No,No,No,No,No,No,No,No,No,No,Yes,0,0,0,Prolapse ,Clinical,0,0,0,0,[Treatment],,,0
emwangi,Government Animal Health Assistant,76f87bd3-c42c-4228-b4ab-dd7fcae18fbc,2020-02-28,2020-02-26,Nyeri,Mathira,Iriaini,Village/Farm,Sheep,Mixed,No,No,No,No,No,No,No,Yes,No,No,No,4,4,0,Foot Rot,Clinical,0,0,0,0,[Treatment],,,0
iresa samson,Private Animal Health Assistant,e13adcde-6e61-425e-926b-7e5b19dabd42,2020-03-05,2020-03-01,Migori,Kuria West,Bukira East,Village/Farm,Cattle,Mixed,No,No,No,Yes,No,No,No,No,No,No,No,7,1,0,East Coast Fever(ECF),Clinical,0,0,0,0,[No Action],,,0
