Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2020-02-19,2020-02-19,Tharaka-Nithi,Maara,Mitheru,Village/Farm,Cattle,Intensive,No,1,0,Mastitis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-22,2020-02-09,Garissa,Dadaab,Liboi,Village/Farm,Cattle,Extensive,No,12,1,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-20,2020-02-20,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-02,2020-03-01,Bomet,Sotik,Rongena/Manaret,Village/Farm,Cattle,Mixed,No,2,0,Lumpy Skin Disease (LSD),Clinical,0,280,"[Treatment, Quarantine, Vaccination]",0.0,0.0,0
2020-02-24,2020-02-23,Kilifi,Malindi,Malindi Town,Village/Farm,Sheep,Mixed,No,0,0,Heart Water,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-24,2020-02-17,Samburu,Samburu West,Loosuk,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-03,2020-02-29,Homa Bay,Karachuonyo,Kendu Bay Town,Village/Farm,Sheep,Mixed,No,1,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-04,Tharaka-Nithi,Chuka/Igambang'Ombe,Mugwe,Village/Farm,Cattle,Intensive,No,0,0,Prolapse ,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-28,2020-02-26,Nyeri,Mathira,Iriaini,Village/Farm,Sheep,Mixed,No,4,0,Foot Rot,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-01,Migori,Kuria West,Bukira East,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[No Action],0.0,0.0,0
2020-03-04,2020-03-04,Tharaka-Nithi,Maara,Muthambi,Village/Farm,Goats,Intensive,No,1,0,Foot and Mouth Disease (FMD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-11,2020-03-08,Kisii,Bonchari,Riana,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Vaccination, Treatment]",0.0,0.0,0
2020-02-29,2020-02-27,Kisii,Bonchari,Riana,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Quarantine, Vaccination]",0.0,0.0,0
2020-04-19,2020-04-17,Homa Bay,Suba,Ruma-Kaksingri,Village/Farm,Cattle,Mixed,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-24,2020-02-24,Embu,Mbeere South,Mavuria,Village/Farm,Dogs,Mixed,No,0,0,Rabies,Clinical,0,0,[Quarantine],0.0,0.0,0
2020-02-24,2020-02-24,Garissa,Garissa Township,Township,Village/Farm,Cattle,Extensive,Yes,10,1,Rift Valley Fever (RVF),Clinical,0,0,[No Action],0.0,0.0,0
2020-02-24,2020-02-24,Baringo,Tiaty,Ribkwo,Village/Farm,Chicken,Extensive,No,5,5,Newcastle Disease (NCD),Clinical,0,0,[Stamping Out],0.0,0.0,0
2020-02-16,2020-02-16,Makueni,Kilome,Kiima Kiu/Kalanzoni,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-11,2020-03-11,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-24,2020-03-24,Bomet,Sotik,Kapletundo,Village/Farm,Cattle,Mixed,No,5,0,Lumpy Skin Disease (LSD),Clinical,0,12,"[Treatment, Vaccination, Quarantine]",0.0,0.0,0
2020-03-24,2020-03-21,Bomet,Sotik,Kapletundo,Village/Farm,Goats,Mixed,No,1,0,Rabies,Clinical,1,5,"[Vaccination, Quarantine]",0.0,0.0,0
2020-03-26,2020-03-25,Bomet,Sotik,Rongena/Manaret,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,8,"[Treatment, Vaccination, Quarantine]",0.0,0.0,0
